shot_id,loc_x,loc_y,minutes_remaining,seconds_remaining,period,playoffs,shot_distance,seconds_left_in_period,game_year,game_month,game_dayofweek,action_type,combined_shot_type,season,shot_type,shot_zone_area,shot_zone_basic,shot_zone_range,opponent,home_away
50,-176,30,3,19,4,0,17,199,2000,11,5,Jump Shot,Jump Shot,2000-01,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,VAN,away
55,-141,247,4,58,1,0,28,298,2000,11,6,Jump Shot,Jump Shot,2000-01,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,LAC,home
60,146,241,3,10,2,0,28,190,2000,11,6,Jump Shot,Jump Shot,2000-01,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,LAC,home
66,-10,91,10,13,4,0,9,613,2000,11,6,Jump Shot,Jump Shot,2000-01,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,LAC,home
67,-119,36,9,6,1,0,12,546,2000,11,1,Jump Shot,Jump Shot,2000-01,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,HOU,away
71,159,110,5,15,1,0,19,315,2000,11,1,Jump Shot,Jump Shot,2000-01,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,HOU,away
80,58,47,11,49,4,0,7,709,2000,11,1,Jump Shot,Jump Shot,2000-01,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,HOU,away
85,-29,70,9,48,1,0,7,588,2000,11,2,Jump Shot,Jump Shot,2000-01,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,SAS,away
86,-124,49,7,26,1,0,13,446,2000,11,2,Turnaround Jump Shot,Jump Shot,2000-01,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,SAS,away
95,132,4,4,25,2,0,13,265,2000,11,2,Turnaround Jump Shot,Jump Shot,2000-01,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,SAS,away
104,-101,137,4,16,3,0,17,256,2000,11,2,Jump Shot,Jump Shot,2000-01,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,SAS,away
113,-151,150,0,43,4,0,21,43,2000,11,2,Jump Shot,Jump Shot,2000-01,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,SAS,away
123,-155,53,2,40,2,0,16,160,2000,11,6,Jump Shot,Jump Shot,2000-01,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,HOU,home
126,-96,133,9,59,3,0,16,599,2000,11,6,Running Jump Shot,Jump Shot,2000-01,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,HOU,home
133,0,0,2,56,3,0,0,176,2000,11,6,Reverse Layup Shot,Layup,2000-01,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,HOU,home
141,45,36,1,5,4,0,5,65,2000,11,6,Jump Shot,Jump Shot,2000-01,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,HOU,home
144,237,11,4,52,1,0,23,292,2000,11,1,Jump Shot,Jump Shot,2000-01,3PT Field Goal,Right Side(R),Right Corner 3,24+ ft.,DEN,home
150,0,0,10,5,2,0,0,605,2000,11,1,Driving Layup Shot,Layup,2000-01,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,DEN,home
152,7,169,4,14,2,0,16,254,2000,11,1,Jump Shot,Jump Shot,2000-01,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,DEN,home
153,0,0,3,22,2,0,0,202,2000,11,1,Driving Layup Shot,Layup,2000-01,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,DEN,home
156,0,0,0,26,2,0,0,26,2000,11,1,Tip Shot,Tip Shot,2000-01,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,DEN,home
159,0,0,3,53,3,0,0,233,2000,11,1,Reverse Dunk Shot,Dunk,2000-01,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,DEN,home
165,0,0,5,32,4,0,0,332,2000,11,1,Dunk Shot,Dunk,2000-01,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,DEN,home
172,70,194,1,36,1,0,20,96,2000,11,3,Jump Shot,Jump Shot,2000-01,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,SAC,away
182,0,0,11,44,4,0,0,704,2000,11,3,Alley Oop Dunk Shot,Dunk,2000-01,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,SAC,away
192,174,-6,6,24,1,0,17,384,2000,11,5,Jump Shot,Jump Shot,2000-01,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,DEN,away
193,0,0,6,2,1,0,0,362,2000,11,5,Driving Layup Shot,Layup,2000-01,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,DEN,away
196,153,4,0,18,1,0,15,18,2000,11,5,Jump Shot,Jump Shot,2000-01,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,DEN,away
202,-162,66,10,5,3,0,17,605,2000,11,5,Jump Shot,Jump Shot,2000-01,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,DEN,away
210,-214,156,5,19,4,0,26,319,2000,11,5,Jump Shot,Jump Shot,2000-01,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,DEN,away
211,-149,137,3,38,4,0,20,218,2000,11,5,Jump Shot,Jump Shot,2000-01,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,DEN,away
228,0,0,0,4,3,0,0,4,2000,11,6,Driving Dunk Shot,Dunk,2000-01,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,CHI,home
257,106,154,6,22,1,0,18,382,2000,11,4,Jump Shot,Jump Shot,2000-01,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,MIN,home
260,106,154,3,25,1,0,18,205,2000,11,4,Jump Shot,Jump Shot,2000-01,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,MIN,home
264,115,137,9,18,3,0,17,558,2000,11,4,Jump Shot,Jump Shot,2000-01,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,MIN,home
267,-141,-19,3,12,3,0,14,192,2000,11,4,Turnaround Jump Shot,Jump Shot,2000-01,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,MIN,home
279,0,0,5,17,1,0,0,317,2000,11,0,Alley Oop Dunk Shot,Dunk,2000-01,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,LAC,away
282,98,141,2,38,2,0,17,158,2000,11,0,Jump Shot,Jump Shot,2000-01,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,LAC,away
293,51,116,10,39,4,0,12,639,2000,11,0,Jump Shot,Jump Shot,2000-01,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,LAC,away
299,-65,106,8,11,2,0,12,491,2000,11,1,Running Jump Shot,Jump Shot,2000-01,2PT Field Goal,Left Side(L),In The Paint (Non-RA),8-16 ft.,IND,home
300,-115,106,6,11,2,0,15,371,2000,11,1,Turnaround Jump Shot,Jump Shot,2000-01,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,IND,home
301,-86,55,5,47,2,0,10,347,2000,11,1,Running Jump Shot,Jump Shot,2000-01,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,IND,home
317,-117,217,9,23,4,0,24,563,2000,11,1,Jump Shot,Jump Shot,2000-01,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,IND,home
327,167,184,0,28,2,0,24,28,2000,11,3,Jump Shot,Jump Shot,2000-01,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,SEA,away
328,129,19,10,59,3,0,13,659,2000,11,3,Jump Shot,Jump Shot,2000-01,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,SEA,away
335,0,0,8,14,1,0,0,494,2000,12,4,Layup Shot,Layup,2000-01,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,SAS,home
346,-16,55,3,14,2,0,5,194,2000,12,4,Running Jump Shot,Jump Shot,2000-01,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,SAS,home
348,26,68,10,15,3,0,7,615,2000,12,4,Jump Shot,Jump Shot,2000-01,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,SAS,home
365,-16,181,11,18,1,0,18,678,2000,12,6,Jump Shot,Jump Shot,2000-01,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,DAL,home
390,0,0,4,16,4,0,0,256,2000,12,6,Driving Layup Shot,Layup,2000-01,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,DAL,home
391,0,0,1,14,4,0,0,74,2000,12,6,Driving Layup Shot,Layup,2000-01,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,DAL,home
392,-73,11,0,41,4,0,7,41,2000,12,6,Running Jump Shot,Jump Shot,2000-01,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,DAL,home
397,117,247,1,27,1,0,27,87,2000,12,1,Jump Shot,Jump Shot,2000-01,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,PHI,home
418,153,181,4,16,4,0,23,256,2000,12,1,Jump Shot,Jump Shot,2000-01,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,PHI,home
428,-147,0,0,0,1,0,14,0,2000,12,2,Jump Shot,Jump Shot,2000-01,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,GSW,away
434,-60,66,0,33,2,0,8,33,2000,12,2,Turnaround Jump Shot,Jump Shot,2000-01,2PT Field Goal,Left Side(L),In The Paint (Non-RA),8-16 ft.,GSW,away
439,0,0,8,25,3,0,0,505,2000,12,2,Layup Shot,Layup,2000-01,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,GSW,away
440,96,228,6,37,3,0,24,397,2000,12,2,Jump Shot,Jump Shot,2000-01,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,GSW,away
456,-86,133,11,43,1,0,15,703,2000,12,4,Jump Shot,Jump Shot,2000-01,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,SEA,home
459,60,34,6,24,1,0,6,384,2000,12,4,Jump Shot,Jump Shot,2000-01,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,SEA,home
472,117,171,7,35,3,0,20,455,2000,12,4,Jump Shot,Jump Shot,2000-01,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,SEA,home
480,-101,4,1,43,4,0,10,103,2000,12,4,Jump Shot,Jump Shot,2000-01,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,SEA,home
491,153,226,1,19,2,0,27,79,2000,12,6,Jump Shot,Jump Shot,2000-01,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,DET,home
497,87,127,5,16,3,0,15,316,2000,12,6,Jump Shot,Jump Shot,2000-01,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,DET,home
509,32,257,2,33,1,0,25,153,2000,12,1,Jump Shot,Jump Shot,2000-01,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,MIL,home
511,180,192,0,44,1,0,26,44,2000,12,1,Jump Shot,Jump Shot,2000-01,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,MIL,home
523,-16,106,0,0,3,0,10,0,2000,12,1,Jump Shot,Jump Shot,2000-01,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,MIL,home
533,161,108,8,53,1,0,19,533,2000,12,2,Jump Shot,Jump Shot,2000-01,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,POR,away
544,0,0,1,11,2,0,0,71,2000,12,2,Layup Shot,Layup,2000-01,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,POR,away
546,226,4,8,36,3,0,22,516,2000,12,2,Jump Shot,Jump Shot,2000-01,3PT Field Goal,Right Side(R),Right Corner 3,24+ ft.,POR,away
555,0,0,0,47,4,0,0,47,2000,12,2,Driving Layup Shot,Layup,2000-01,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,POR,away
558,45,253,11,18,1,0,25,678,2000,12,4,Jump Shot,Jump Shot,2000-01,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,VAN,home
560,-143,78,7,17,1,0,16,437,2000,12,4,Jump Shot,Jump Shot,2000-01,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,VAN,home
573,-149,34,6,30,3,0,15,390,2000,12,4,Jump Shot,Jump Shot,2000-01,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,VAN,home
591,123,188,2,26,3,0,22,146,2000,12,6,Jump Shot,Jump Shot,2000-01,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,TOR,away
596,-4,99,8,13,4,0,9,493,2000,12,6,Jump Shot,Jump Shot,2000-01,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,TOR,away
597,-134,177,6,14,4,0,22,374,2000,12,6,Jump Shot,Jump Shot,2000-01,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,TOR,away
601,-48,72,0,48,4,0,8,48,2000,12,6,Turnaround Jump Shot,Jump Shot,2000-01,2PT Field Goal,Left Side(L),In The Paint (Non-RA),8-16 ft.,TOR,away
605,110,165,8,39,1,0,19,519,2000,12,1,Jump Shot,Jump Shot,2000-01,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,MIA,away
617,125,0,10,33,3,0,12,633,2000,12,1,Jump Shot,Jump Shot,2000-01,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,MIA,away
628,-166,0,0,18,4,0,16,18,2000,12,1,Jump Shot,Jump Shot,2000-01,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,MIA,away
634,159,78,3,43,1,0,17,223,2000,12,3,Jump Shot,Jump Shot,2000-01,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,HOU,away
646,56,23,3,20,3,0,6,200,2000,12,3,Jump Shot,Jump Shot,2000-01,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,HOU,away
649,106,133,9,44,4,0,17,584,2000,12,3,Jump Shot,Jump Shot,2000-01,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,HOU,away
651,0,0,6,16,4,0,0,376,2000,12,3,Driving Layup Shot,Layup,2000-01,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,HOU,away
654,0,0,0,11,4,0,0,11,2000,12,3,Dunk Shot,Dunk,2000-01,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,HOU,away
656,0,0,11,6,1,0,0,666,2000,12,4,Layup Shot,Layup,2000-01,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,DAL,away
657,3,137,10,47,1,0,13,647,2000,12,4,Jump Shot,Jump Shot,2000-01,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,DAL,away
669,167,93,9,1,3,0,19,541,2000,12,4,Jump Shot,Jump Shot,2000-01,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,DAL,away
670,0,0,5,51,3,0,0,351,2000,12,4,Alley Oop Dunk Shot,Dunk,2000-01,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,DAL,away
693,-44,55,1,49,4,0,7,109,2000,12,0,Turnaround Jump Shot,Jump Shot,2000-01,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,POR,home
694,-71,99,1,22,4,0,12,82,2000,12,0,Jump Shot,Jump Shot,2000-01,2PT Field Goal,Left Side(L),In The Paint (Non-RA),8-16 ft.,POR,home
699,-27,169,4,30,1,0,17,270,2000,12,3,Jump Shot,Jump Shot,2000-01,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,PHX,away
711,167,97,6,7,3,0,19,367,2000,12,3,Jump Shot,Jump Shot,2000-01,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,PHX,away
718,144,61,5,53,1,0,15,353,2000,12,5,Jump Shot,Jump Shot,2000-01,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,LAC,away
722,153,0,10,30,2,0,15,630,2000,12,5,Jump Shot,Jump Shot,2000-01,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,LAC,away
723,-191,188,8,55,2,0,26,535,2000,12,5,Jump Shot,Jump Shot,2000-01,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,LAC,away
725,16,82,5,33,2,0,8,333,2000,12,5,Turnaround Jump Shot,Jump Shot,2000-01,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,LAC,away
734,153,61,7,5,1,0,16,425,2001,1,2,Jump Shot,Jump Shot,2000-01,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,UTA,home
735,0,0,6,1,1,0,0,361,2001,1,2,Layup Shot,Layup,2000-01,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,UTA,home
737,-44,40,0,53,1,0,5,53,2001,1,2,Running Jump Shot,Jump Shot,2000-01,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,UTA,home
746,159,17,9,46,3,0,15,586,2001,1,2,Jump Shot,Jump Shot,2000-01,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,UTA,home
747,159,99,5,27,3,0,18,327,2001,1,2,Turnaround Jump Shot,Jump Shot,2000-01,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,UTA,home
766,11,270,5,49,2,0,27,349,2001,1,6,Jump Shot,Jump Shot,2000-01,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,LAC,home
767,-176,13,5,37,2,0,17,337,2001,1,6,Jump Shot,Jump Shot,2000-01,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,LAC,home
771,-136,13,0,25,2,0,13,25,2001,1,6,Jump Shot,Jump Shot,2000-01,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,LAC,home
773,-71,13,11,20,3,0,7,680,2001,1,6,Jump Shot,Jump Shot,2000-01,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,LAC,home
774,-1,175,8,45,3,0,17,525,2001,1,6,Jump Shot,Jump Shot,2000-01,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,LAC,home
783,-10,72,10,12,2,0,7,612,2001,1,4,Jump Shot,Jump Shot,2000-01,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,CLE,home
784,-149,198,4,29,2,0,24,269,2001,1,4,Jump Shot,Jump Shot,2000-01,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,CLE,home
789,-164,28,8,31,3,0,16,511,2001,1,4,Jump Shot,Jump Shot,2000-01,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,CLE,home
792,186,171,2,22,3,0,25,142,2001,1,4,Jump Shot,Jump Shot,2000-01,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,CLE,home
804,-164,175,0,59,4,0,23,59,2001,1,4,Jump Shot,Jump Shot,2000-01,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,CLE,home
809,176,-15,7,10,2,0,17,430,2001,1,5,Jump Shot,Jump Shot,2000-01,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,UTA,away
812,-187,-32,0,45,2,0,18,45,2001,1,5,Jump Shot,Jump Shot,2000-01,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,UTA,away
813,197,141,0,21,2,0,24,21,2001,1,5,Jump Shot,Jump Shot,2000-01,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,UTA,away
817,70,0,8,59,3,0,7,539,2001,1,5,Jump Shot,Jump Shot,2000-01,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,UTA,away
820,161,13,3,53,3,0,16,233,2001,1,5,Jump Shot,Jump Shot,2000-01,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,UTA,away
825,-157,141,3,1,4,0,21,181,2001,1,5,Jump Shot,Jump Shot,2000-01,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,UTA,away
826,144,148,2,23,4,0,20,143,2001,1,5,Jump Shot,Jump Shot,2000-01,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,UTA,away
829,231,82,10,55,1,0,24,655,2001,1,0,Jump Shot,Jump Shot,2000-01,3PT Field Goal,Right Side(R),Right Corner 3,24+ ft.,VAN,home
855,207,137,5,15,1,0,24,315,2001,1,4,Jump Shot,Jump Shot,2000-01,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,HOU,home
859,0,0,1,30,1,0,0,90,2001,1,4,Driving Layup Shot,Layup,2000-01,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,HOU,home
862,180,181,8,0,2,0,25,480,2001,1,4,Jump Shot,Jump Shot,2000-01,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,HOU,home
870,-164,192,5,55,3,0,25,355,2001,1,4,Jump Shot,Jump Shot,2000-01,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,HOU,home
876,153,51,8,54,1,0,16,534,2001,1,6,Jump Shot,Jump Shot,2000-01,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,MIA,home
880,-164,116,0,34,1,0,20,34,2001,1,6,Jump Shot,Jump Shot,2000-01,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,MIA,home
886,0,0,3,47,2,0,0,227,2001,1,6,Slam Dunk Shot,Dunk,2000-01,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,MIA,home
889,-107,165,9,57,3,0,19,597,2001,1,6,Running Jump Shot,Jump Shot,2000-01,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,MIA,home
891,0,0,7,45,3,0,0,465,2001,1,6,Layup Shot,Layup,2000-01,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,MIA,home
897,0,0,8,38,4,0,0,518,2001,1,6,Slam Dunk Shot,Dunk,2000-01,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,MIA,home
902,-75,243,11,29,1,0,25,689,2001,1,1,Jump Shot,Jump Shot,2000-01,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,SEA,away
903,-4,63,9,19,1,0,6,559,2001,1,1,Jump Shot,Jump Shot,2000-01,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,SEA,away
908,85,245,0,16,1,0,25,16,2001,1,1,Jump Shot,Jump Shot,2000-01,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,SEA,away
909,-69,173,11,1,2,0,18,661,2001,1,1,Jump Shot,Jump Shot,2000-01,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,SEA,away
920,1,251,4,9,4,0,25,249,2001,1,1,Jump Shot,Jump Shot,2000-01,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,SEA,away
922,138,127,5,24,1,0,18,324,2001,1,4,Jump Shot,Jump Shot,2000-01,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,NJN,home
924,159,40,3,54,1,0,16,234,2001,1,4,Turnaround Jump Shot,Jump Shot,2000-01,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,NJN,home
932,-37,247,2,26,2,0,24,146,2001,1,4,Jump Shot,Jump Shot,2000-01,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,NJN,home
934,81,253,10,37,3,0,26,637,2001,1,4,Jump Shot,Jump Shot,2000-01,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,NJN,home
937,138,219,7,1,4,0,25,421,2001,1,4,Jump Shot,Jump Shot,2000-01,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,NJN,home
941,127,55,11,23,1,0,13,683,2001,1,6,Jump Shot,Jump Shot,2000-01,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,NYK,away
943,157,28,6,4,1,0,15,364,2001,1,6,Jump Shot,Jump Shot,2000-01,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,NYK,away
950,-132,133,3,50,2,0,18,230,2001,1,6,Jump Shot,Jump Shot,2000-01,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,NYK,away
952,163,72,11,44,3,0,17,704,2001,1,6,Jump Shot,Jump Shot,2000-01,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,NYK,away
954,0,0,10,30,3,0,0,630,2001,1,6,Alley Oop Dunk Shot,Dunk,2000-01,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,NYK,away
963,-168,89,2,38,4,0,19,158,2001,1,6,Jump Shot,Jump Shot,2000-01,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,NYK,away
975,167,-8,1,34,1,0,16,94,2001,1,1,Jump Shot,Jump Shot,2000-01,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,CLE,away
979,-56,188,3,57,2,0,19,237,2001,1,1,Jump Shot,Jump Shot,2000-01,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,CLE,away
981,64,127,1,20,2,0,14,80,2001,1,1,Jump Shot,Jump Shot,2000-01,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,CLE,away
983,231,0,0,0,2,0,23,0,2001,1,1,Jump Shot,Jump Shot,2000-01,3PT Field Goal,Right Side(R),Right Corner 3,24+ ft.,CLE,away
985,7,0,10,49,3,0,0,649,2001,1,1,Layup Shot,Layup,2000-01,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,CLE,away
989,7,7,8,36,4,0,0,516,2001,1,1,Layup Shot,Layup,2000-01,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,CLE,away
995,89,177,6,22,1,0,19,382,2001,1,2,Jump Shot,Jump Shot,2000-01,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,MIN,away
